Site,Plot,Year,BRTE,CHJU,BRAR5,BRBR5,POBU,EPBR3,Bromus
1,1,2021,0.5,0.2375,0.0125,0,0,0.0125,0.5125
1,2,2021,0.352112676,0.211267606,0,0,0,0.366197183,0.352112676
1,3,2021,0.554216867,0.301204819,0,0,0.012048193,0.024096386,0.554216867
1,4,2021,0.590909091,0.060606061,0,0,0.015151515,0.075757576,0.590909091
1,5,2021,0.456140351,0.140350877,0,0,0.01754386,0.01754386,0.456140351
1,6,2021,0.703125,0.03125,0,0,0,0.015625,0.703125
1,7,2021,0.355263158,0.157894737,0,0,0.013157895,0.092105263,0.355263158
1,8,2021,0.430232558,0.209302326,0,0,0.023255814,0.127906977,0.430232558
1,9,2021,0.34,0.18,0,0,0.06,0.18,0.34
1,10,2021,0.065217391,0.043478261,0,0,0.065217391,0.065217391,0.065217391
1,11,2021,0,0,0,0,0,0,0
1,12,2021,0,0,0,0,0.025641026,0.307692308,0
1,13,2021,0,0,0,0,0,0,0
2,1,2021,0.323529412,0.470588235,0,0,0.044117647,0,0.323529412
2,2,2021,0.454545455,0.337662338,0,0,0,0,0.454545455
2,3,2021,0.378378378,0.378378378,0,0,0,0,0.378378378
2,4,2021,0.442307692,0.25,0,0,0.115384615,0,0.442307692
2,5,2021,0.362637363,0.373626374,0,0,0.032967033,0,0.362637363
2,6,2021,0.418604651,0.290697674,0,0,0.11627907,0,0.418604651
2,7,2021,0.392857143,0.345238095,0,0,0.154761905,0,0.392857143
2,8,2021,0.44,0.34,0,0,0.06,0,0.44
2,9,2021,0.451612903,0.344086022,0,0,0.064516129,0,0.451612903
2,10,2021,0.52173913,0.293478261,0,0,0.065217391,0,0.52173913
2,11,2021,0.475728155,0.417475728,0,0,0.009708738,0,0.475728155
2,12,2021,0.309090909,0.363636364,0,0,0.2,0,0.309090909
2,13,2021,0.345238095,0.357142857,0,0,0.05952381,0,0.345238095
3,1,2021,0.448275862,0,0,0,0.137931034,0,0.448275862
3,2,2021,0.293103448,0.448275862,0,0,0.086206897,0,0.293103448
3,3,2021,0.086956522,0.804347826,0,0,0.02173913,0,0.086956522
3,4,2021,0.035714286,0.535714286,0,0,0.303571429,0,0.035714286
3,5,2021,0.240963855,0.469879518,0,0,0.060240964,0.012048193,0.240963855
3,6,2021,0.018867925,0.528301887,0,0,0.320754717,0,0.018867925
3,7,2021,0.088235294,0.470588235,0,0,0.25,0,0.088235294
3,8,2021,0,0.5625,0,0,0.145833333,0,0
3,9,2021,0.0875,0.3875,0,0,0.05,0,0.0875
3,10,2021,0,0.566037736,0,0,0.396226415,0,0
3,11,2021,0.079365079,0.634920635,0,0,0.031746032,0,0.079365079
3,12,2021,0,0.421052632,0,0,0.01754386,0,0
3,13,2021,0,0.637931034,0,0,0,0,0
4,1,2021,0.56,0.34,0,0,0,0.02,0.56
4,2,2021,0.338028169,0,0,0,0.084507042,0,0.338028169
4,3,2021,0.678571429,0.035714286,0,0,0.089285714,0.017857143,0.678571429
4,4,2021,0.436619718,0.098591549,0,0,0.126760563,0,0.436619718
4,5,2021,0.823529412,0,0,0,0.029411765,0,0.823529412
4,6,2021,0.454545455,0.5,0,0,0,0,0.454545455
4,7,2021,0.436619718,0.366197183,0,0,0.056338028,0.070422535,0.436619718
4,8,2021,0.542372881,0.440677966,0,0,0,0.016949153,0.542372881
4,9,2021,0.685185185,0.277777778,0,0,0,0,0.685185185
4,10,2021,0.735849057,0.075471698,0,0,0,0.056603774,0.735849057
4,11,2021,0.515151515,0.212121212,0,0,0,0.03030303,0.515151515
4,12,2021,0.464285714,0.482142857,0,0,0,0.017857143,0.464285714
4,13,2021,0.511627907,0.23255814,0,0,0,0.081395349,0.511627907
5,1,2021,0.361702128,0.35106383,0.106382979,0,0,0,0.468085106
5,2,2021,0.175,0.3875,0.1875,0,0,0.0375,0.3625
5,3,2021,0.518072289,0.409638554,0.024096386,0,0.024096386,0.024096386,0.542168675
5,4,2021,0.333333333,0.32183908,0.229885057,0,0.114942529,0,0.563218391
5,5,2021,0.294117647,0.450980392,0,0,0.137254902,0.019607843,0.294117647
5,6,2021,0.069444444,0.444444444,0.430555556,0,0,0.041666667,0.5
5,7,2021,0.039215686,0.666666667,0.176470588,0,0,0.117647059,0.215686275
5,8,2021,0.180555556,0.333333333,0.472222222,0,0,0,0.652777778
5,9,2021,0,0.545454545,0.409090909,0,0,0,0.409090909
5,10,2021,0.82,0,0,0,0,0,0.82
5,11,2021,0.472527473,0.395604396,0,0,0.043956044,0.010989011,0.472527473
5,12,2021,0.24,0.56,0.173333333,0,0,0.013333333,0.413333333
5,13,2021,0,0.80952381,0,0,0,0.047619048,0
6,1,2021,0.322580645,0.258064516,0.016129032,0.306451613,0,0,0.64516129
6,2,2021,0.328767123,0.109589041,0.01369863,0.232876712,0,0.123287671,0.575342466
6,3,2021,0.181818182,0.142857143,0.012987013,0.181818182,0.012987013,0.207792208,0.376623377
6,4,2021,0.369863014,0.136986301,0,0,0,0.369863014,0.369863014
6,5,2021,0.317647059,0.129411765,0,0,0.011764706,0.294117647,0.317647059
6,6,2021,0.407407407,0.092592593,0.018518519,0.037037037,0,0.203703704,0.462962963
6,7,2021,0.525641026,0.102564103,0,0,0.025641026,0.153846154,0.525641026
6,8,2021,0.5,0.0875,0,0,0.025,0.1375,0.5
6,9,2021,0.597014925,0.089552239,0.029850746,0,0.029850746,0.179104478,0.626865672
6,10,2021,0.507462687,0.134328358,0,0,0,0.208955224,0.507462687
6,11,2021,0.546666667,0.093333333,0.026666667,0,0,0.186666667,0.573333333
6,12,2021,0.333333333,0.057971014,0,0.086956522,0,0.362318841,0.420289855
6,13,2021,0.549295775,0.126760563,0,0.014084507,0,0.281690141,0.563380282
7,1,2021,0.025,0.475,0,0,0.1,0.275,0.025
7,2,2021,0.575,0.2125,0,0,0,0.1625,0.575
7,3,2021,0.823529412,0.117647059,0,0,0,0,0.823529412
7,4,2021,0.605263158,0.315789474,0,0,0,0,0.605263158
7,5,2021,0.64,0.28,0,0,0,0.06,0.64
7,6,2021,0.333333333,0.158730159,0,0,0.015873016,0.047619048,0.333333333
7,7,2021,0.18,0.42,0,0,0.16,0.06,0.18
7,8,2021,0.481481481,0.333333333,0,0,0.012345679,0.12345679,0.481481481
7,9,2021,0.351851852,0.277777778,0,0,0,0.12962963,0.351851852
7,10,2021,0.666666667,0.26984127,0,0,0,0,0.666666667
7,11,2021,0.704545455,0.204545455,0,0,0,0.045454545,0.704545455
7,12,2021,0.6,0.327272727,0,0,0,0.054545455,0.6
7,13,2021,0.722222222,0.111111111,0,0,0,0.148148148,0.722222222
8,1,2021,0.268656716,0.194029851,0.328358209,0,0,0.089552239,0.597014925
8,2,2021,0.088235294,0.279411765,0.161764706,0,0,0.264705882,0.25
8,3,2021,0.019607843,0.215686275,0.078431373,0.019607843,0,0.392156863,0.117647059
8,4,2021,0.03125,0.171875,0.140625,0.015625,0,0.40625,0.1875
8,5,2021,0.108695652,0.086956522,0.108695652,0,0,0.195652174,0.217391304
8,6,2021,0.177777778,0.066666667,0.088888889,0.022222222,0.022222222,0.155555556,0.288888889
8,7,2021,0.245283019,0.20754717,0.150943396,0,0,0.094339623,0.396226415
8,8,2021,0.090909091,0.090909091,0.363636364,0,0,0.272727273,0.454545455
8,9,2021,0.015625,0.328125,0.1875,0,0,0.21875,0.203125
8,10,2021,0.015625,0.265625,0.21875,0,0,0.265625,0.234375
8,11,2021,0,0.287878788,0.212121212,0,0,0.272727273,0.212121212
8,12,2021,0.03125,0.1875,0.203125,0,0.015625,0.265625,0.234375
8,13,2021,0,0.115942029,0.101449275,0.014492754,0,0.492753623,0.115942029
9,1,2021,0.05952381,0.25,0.071428571,0,0.011904762,0.44047619,0.130952381
9,2,2021,0.107142857,0.053571429,0.178571429,0.017857143,0.035714286,0.178571429,0.303571429
9,3,2021,0.118811881,0.168316832,0.267326733,0.04950495,0.02970297,0.059405941,0.435643564
9,4,2021,0.164383562,0.109589041,0.150684932,0.04109589,0,0.178082192,0.356164384
9,5,2021,0.2,0,0.133333333,0.08,0.026666667,0.4,0.413333333
9,6,2021,0.208955224,0.179104478,0.253731343,0.029850746,0.029850746,0.059701493,0.492537313
9,7,2021,0.092783505,0,0.298969072,0.06185567,0.041237113,0.309278351,0.453608247
9,8,2021,0.229166667,0.104166667,0.208333333,0.041666667,0,0.333333333,0.479166667
9,9,2021,0.065789474,0,0.328947368,0.013157895,0.052631579,0.25,0.407894737
9,10,2021,0.202531646,0.075949367,0.101265823,0.075949367,0.126582278,0.215189873,0.379746835
9,11,2021,0.192307692,0,0.125,0.038461538,0.009615385,0.259615385,0.355769231
9,12,2021,0.157894737,0.039473684,0.157894737,0.157894737,0.092105263,0.078947368,0.473684211
9,13,2021,0.142857143,0.038961039,0.051948052,0.298701299,0.194805195,0.051948052,0.493506494
10,1,2021,0.281553398,0.145631068,0.213592233,0,0,0.097087379,0.495145631
10,2,2021,0.333333333,0.03030303,0.171717172,0.01010101,0,0.212121212,0.515151515
10,3,2021,0.103448276,0.057471264,0.034482759,0,0.011494253,0.16091954,0.137931034
10,4,2021,0.342857143,0.20952381,0.257142857,0,0,0.104761905,0.6
10,5,2021,0.179487179,0.316239316,0.282051282,0.042735043,0,0.085470085,0.504273504
10,6,2021,0.483146067,0.146067416,0.123595506,0.04494382,0.011235955,0.101123596,0.651685393
10,7,2021,0.300884956,0.221238938,0.123893805,0.053097345,0,0.221238938,0.477876106
10,8,2021,0.25,0.169354839,0.064516129,0,0.008064516,0.258064516,0.314516129
10,9,2021,0.323232323,0.151515152,0.090909091,0,0.01010101,0.232323232,0.414141414
10,10,2021,0.360465116,0.127906977,0.058139535,0,0.011627907,0.220930233,0.418604651
10,11,2021,0.197916667,0.34375,0.229166667,0,0.020833333,0.125,0.427083333
10,12,2021,0.450980392,0.107843137,0.039215686,0,0,0.107843137,0.490196078
10,13,2021,0.345238095,0.166666667,0.178571429,0,0.023809524,0.178571429,0.523809524
