"","Species","Scientific","Common","Native_Exotic_Planted","Invasive","Growth_form","Life_history","Functional.group","GroupedFunctional"
"1","ACMI2","Achillea millefolium L.","common yarrow","Native","N","Forb","Perennial","NPF","PF"
"2","ACTH7","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass","Native","N","Grass","Perennial","PG","PG"
"3","AGCR","Agropyron cristatum (L.) Gaertn.","crested wheatgrass","Planted","N","Grass","Perennial","PG","PG"
"4","AGGR","Agoseris grandiflora (Nutt.) Greene","bigflower agoseris","Native","N","Forb","Perennial","NPF","PF"
"5","AGPA14","Agoseris parviflora (Nutt.) Greene","false agoseris","Native","N","Forb","Perennial","NPF","PF"
"6","ALDE","Alyssum desertorum Stapf","desert madwort","Exotic","Y","Forb","Annual","EAF","AF"
"7","AMAL","Amaranthus albus L.","prostrate pigweed","Exotic","N","Forb","Annual","EAF","AF"
"8","AMSIN","Amsinckia Lehm.","fiddleneck","Native","N","Forb","Annual","NAF","AF"
"9","APAN2","Apocynum androsaemifolium L.","spreading dogbane","Native","N","Forb","Perennial","NPF","PF"
"10","APIN","Apera interrupta (L.) P. Beauv.","dense silkybent","Exotic","N","Grass","Annual","EAG","AG"
"11","ARLO6","Arnica longifolia D.C. Eaton","spearleaf arnica","Native","N","Forb","Perennial","NPF","PF"
"12","ARPU9","Aristida purpurea Nutt.","purple three-awn","Native","N","Grass","Perennial","PG","PG"
"13","ARTR2","Artemisia tridentata Nutt.","big sagebrush","Native","N","Shrub","Perennial","NS","NS"
"14","ASAD2","Astragalus adanus A. Nelson","Boise milkvetch","Native","N","Forb","Perennial","NPF","PF"
"15","ASPU9","Astragalus purshii Douglas ex Hook.","woolypod milkvetch","Native","N","Forb","Perennial","NPF","PF"
"16","BASA3","Balsamorhiza sagittata (Pursh) Nutt.","arrowleaf balsamroot","Native","N","Forb","Perennial","NPF","PF"
"17","BLSC","Blepharipappus scaber Hook.","rough eyelashweed","Native","N","Forb","Annual","NAF","AF"
"18","BRAR5","Bromus arvensis L.","field brome","Exotic","Y","Grass","Annual","EAG","AG"
