Site,Plot,ppt_mm,ID,Month
1,1,131.3379974,ppt202001,1
1,1,53.90100098,ppt202002,2
1,1,39.99100113,ppt202003,3
1,1,37.73899841,ppt202004,4
1,1,65.38999939,ppt202005,5
1,1,93.63899994,ppt202006,6
1,1,1.773000002,ppt202007,7
1,1,1.289000034,ppt202008,8
1,1,8.333999634,ppt202009,9
1,1,32.79899979,ppt202010,10
1,1,117.9420013,ppt202011,11
1,1,66.76300049,ppt202012,12
1,1,86.35199738,ppt202101,1
1,1,92.36989594,ppt202102,2
1,1,27.51490021,ppt202103,3
1,1,23.17609978,ppt202104,4
1,1,23.70509911,ppt202105,5
1,1,21.86039925,ppt202106,6
1,1,4.302000046,ppt202107,7
1,1,19.89629936,ppt202108,8
1,1,12.58729935,ppt202109,9
1,1,83.37220001,ppt202110,10
1,1,47.67810059,ppt202111,11
1,1,127.8893967,ppt202112,12
1,1,66.78489685,ppt202201,1
1,1,3.489799976,ppt202202,2
1,1,13.86529922,ppt202203,3
1,1,46.28609848,ppt202204,4
1,1,81.65339661,ppt202205,5
1,1,32.2804985,ppt202206,6
1,1,0.0046,ppt202207,7
1,1,2.58949995,ppt202208,8
1,1,9.037499428,ppt202209,9
1,1,34.39199829,ppt202210,10
1,1,91.32339478,ppt202211,11
1,1,133.4743958,ppt202212,12
1,1,48.75009918,ppt202301,1
1,1,27.50479889,ppt202302,2
1,1,138.0019989,ppt202303,3
1,1,21.5304985,ppt202304,4
1,1,45.56599808,ppt202305,5
1,1,51.68409729,ppt202306,6
1,1,0.692799985,ppt202307,7
1,1,42.79150009,ppt202308,8
1,1,7.985699654,ppt202309,9
1,1,40.14039993,ppt202310,10
1,1,45.41609955,ppt202311,11
1,1,73.85449982,ppt202312,12
1,1,96.82619476,ppt202401,1
1,1,76.1147995,ppt202402,2
1,1,81.61239624,ppt202403,3
1,1,60.60099792,ppt202404,4
1,1,39.52759933,ppt202405,5
1,1,25.06719971,ppt202406,6
1,1,5.860599995,ppt202407,7
1,1,0.812099993,ppt202408,8
1,1,16.55949974,ppt202409,9
1,1,12.44619942,ppt202410,10
1,1,103.0107956,ppt202411,11
1,1,153.8627014,ppt202412,12
1,2,131.3379974,ppt202001,1
1,2,53.90100098,ppt202002,2
1,2,39.99100113,ppt202003,3
1,2,37.73899841,ppt202004,4
1,2,65.38999939,ppt202005,5
1,2,93.63899994,ppt202006,6
1,2,1.773000002,ppt202007,7
1,2,1.289000034,ppt202008,8
1,2,8.333999634,ppt202009,9
1,2,32.79899979,ppt202010,10
1,2,117.9420013,ppt202011,11
1,2,66.76300049,ppt202012,12
1,2,86.35199738,ppt202101,1
1,2,92.36989594,ppt202102,2
1,2,27.51490021,ppt202103,3
1,2,23.17609978,ppt202104,4
1,2,23.70509911,ppt202105,5
1,2,21.86039925,ppt202106,6
1,2,4.302000046,ppt202107,7
1,2,19.89629936,ppt202108,8
1,2,12.58729935,ppt202109,9
1,2,83.37220001,ppt202110,10
1,2,47.67810059,ppt202111,11
1,2,127.8893967,ppt202112,12
1,2,66.78489685,ppt202201,1
1,2,3.489799976,ppt202202,2
1,2,13.86529922,ppt202203,3
1,2,46.28609848,ppt202204,4
1,2,81.65339661,ppt202205,5
1,2,32.2804985,ppt202206,6
1,2,0.0046,ppt202207,7
1,2,2.58949995,ppt202208,8
1,2,9.037499428,ppt202209,9
1,2,34.39199829,ppt202210,10
1,2,91.32339478,ppt202211,11
1,2,133.4743958,ppt202212,12
1,2,48.75009918,ppt202301,1
1,2,27.50479889,ppt202302,2
1,2,138.0019989,ppt202303,3
1,2,21.5304985,ppt202304,4
1,2,45.56599808,ppt202305,5
1,2,51.68409729,ppt202306,6
1,2,0.692799985,ppt202307,7
1,2,42.79150009,ppt202308,8
1,2,7.985699654,ppt202309,9
1,2,40.14039993,ppt202310,10
1,2,45.41609955,ppt202311,11
