Site_number,Site,Plot,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload
1.001,1,1,No,2x2,-116.033,43.57171,578044.8,4824760,1175.679,6.237841,125.939,0.003189,0.816025,-0.15749,0.693593
1.01,1,10,Yes,2x2,-116.034,43.57246,578002.9,4824842,1184.029,7.647015,68.98409,0.418793,1.052399,-0.91366,0.598111
1.011,1,11,Yes,2x2,-116.034,43.57251,577993.5,4824847,1184.345,8.048407,43.31745,0.34201,1.087585,-0.99957,0.567988
1.012,1,12,Yes,2x2,-116.034,43.57245,577978.5,4824840,1186.651,5.281117,60.8234,0.223572,0.754242,-0.96211,0.615882
1.013,1,13,No,2x2,-116.034,43.57259,577977.3,4824856,1184.56,8.966177,34.11515,-0.12497,1.203278,-0.98201,0.565863
1.002,1,2,Yes,2x2,-116.033,43.57185,578047.3,4824774,1176.957,7.4112,122.0738,-0.07001,1.0065,-0.22369,0.688467
1.003,1,3,No,2x2,-116.034,43.57187,578034.3,4824777,1178.169,7.848784,123.1115,0.049713,1.049835,-0.20601,0.690548
1.004,1,4,Yes,2x2,-116.034,43.57205,578038.2,4824796,1179.544,7.559033,110.7123,0.186829,1.056152,-0.41132,0.667796
1.005,1,5,Yes,2x2,-116.034,43.57201,578023.6,4824792,1180.077,7.144707,123.8017,0.161087,0.942307,-0.19421,0.691304
1.006,1,6,Yes,2x2,-116.034,43.5722,578033.5,4824814,1180.1,7.767746,92.42914,0.206619,1.066299,-0.6765,0.633857
1.007,1,7,Yes,2x2,-116.034,43.57212,578015.5,4824804,1182.125,6.982691,112.558,-0.01608,0.975433,-0.38175,0.672246
1.008,1,8,Yes,2x2,-116.034,43.57232,578009.5,4824826,1182.865,7.995424,88.57511,0.267349,1.118942,-0.72447,0.625542
1.009,1,9,Yes,2x2,-116.034,43.57225,577998.9,4824819,1184.794,5.664468,114.3815,0.126434,0.771942,-0.35214,0.676934
