Year,Season,Year_Season,Site,Plot,Depth,watercontent_g.g.instant,WHC_g.g.instant,NH4.instant,NO3.instant,N_ug.g.instant,watercontent_g.g.incubated,WHC_g.g.incubated,NH4.incubated,NO3.incubated,N_ug.g.incubated
2021,Fall,2021Fall,1,1,0-10,0.037358,0.464505,4.163761,5.896065,10.05983,0.037358,0.464505,0.461817,1.466416,1.928234
2021,Fall,2021Fall,1,2,0-10,0.034798,0.415083,1.629135,2.267725,3.89686,0.034798,0.415083,0.195317,0.913366,1.108683
2021,Fall,2021Fall,1,3,0-10,0.035596,0.432717,1.586566,3.94478,5.531346,0.035596,0.432717,0.379185,1.261332,1.640517
2021,Fall,2021Fall,1,4,0-10,0.048308,0.39395,1.064194,4.156792,5.220986,0.048308,0.39395,0.604806,1.320815,1.925621
2021,Fall,2021Fall,1,5,0-10,0.030426,0.388082,3.192852,3.500908,6.69376,0.030426,0.388082,0.181577,0.97009,1.151667
2021,Fall,2021Fall,1,6,0-10,0.045728,0.461819,3.679603,8.519585,12.19919,0.045728,0.461819,0.230275,1.782027,2.012302
2021,Fall,2021Fall,1,7,0-10,0.033754,0.372867,2.299627,4.304778,6.604406,0.033754,0.372867,0.22887,1.25503,1.4839
2021,Fall,2021Fall,1,8,0-10,0.035514,0.476779,2.826307,6.107859,8.934166,0.035514,0.476779,0.262401,1.801061,2.063462
2021,Fall,2021Fall,1,9,0-10,0.021449,0.35945,5.637076,4.499671,10.13675,0.021449,0.35945,0.152123,1.28937,1.441493
2021,Fall,2021Fall,1,10,0-10,0.031192,0.399148,2.844813,7.882995,10.72781,0.031192,0.399148,0.222628,1.61092,1.833548
2021,Fall,2021Fall,1,11,0-10,0.021627,0.314438,0.914341,3.26487,4.179211,0.021627,0.314438,0.222301,0.996639,1.21894
2021,Fall,2021Fall,1,12,0-10,0.022024,0.39304,1.410474,3.385969,4.796443,0.022024,0.39304,0.241903,0.993654,1.235557
2021,Fall,2021Fall,1,13,0-10,0.022011,0.373313,1.608422,3.058571,4.666993,0.022011,0.373313,0.252803,0.943534,1.196336
2021,Fall,2021Fall,2,1,0-10,0.029742,0.328304,4.378781,5.914765,10.29355,0.029742,0.328304,0.319067,1.691901,2.010968
2021,Fall,2021Fall,2,2,0-10,0.023465,0.326495,5.122346,4.649248,9.771595,0.023465,0.326495,0.34139,1.606599,1.94799
2021,Fall,2021Fall,2,3,0-10,0.028852,0.315699,4.140864,5.518605,9.659469,0.028852,0.315699,0.431029,1.632986,2.064015
