Site,Plot,Year,AMSIN,BRAR5,BRTE,CHJU,EPBR3,ERCI6,HOUM,LARA,LASE,ARTR2,BRBR5,CRYPT,ERWI,LUPIN,MYST2,POBU,VEDU,BASA3,ELEL5,MADIA,OARTR,OPSSP,VUMY,OACMI,TACA8,OERNA,TRDU,ACMI2,POSE,CREPI,LONU2,PODO4,BLSC,DACA3,PHLO2,THIN6,PHAC2,AGPA14,ERAP,DRVE2,PSSP6,PHHA,ACTH7,HECO26,CLPE,VIOLA,CALOC,OELEL,ALDE,ERVI5,LECI4,SECE,ERUM,AMAL,CHMA15,PHHE2,HEAN3,APAN2,ELGL,UNKFRB3,COGR4,LIRU4,BUAR3,PUTR2,HEUN,POMI,ARLO6,ERHE2,PREM,BRIN2,ASAD2,GALIU,COUM,VIPU4,ERNA10,KOMA,APIN,SIAL2,POPR,HISC2,AGCR,ERTR13,DESO2,DEPI,SIDO,UKFB2,ELRE4,ROWO,PLTE,TAOF
1,1,2021,0.0125,0.0125,0.5,0.2375,0.0125,0.075,0.0125,0.0125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2022,0.013157895,0,0.282894737,0.217105263,0.039473684,0.052631579,0.052631579,0.046052632,0.052631579,0.006578947,0.046052632,0.013157895,0.019736842,0.026315789,0.052631579,0.072368421,0.006578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2023,0,0.118881119,0.216783217,0.244755245,0.146853147,0.020979021,0,0,0,0,0,0,0.006993007,0,0,0.062937063,0.041958042,0.006993007,0.006993007,0.083916084,0.013986014,0.013986014,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2024,0,0.184615385,0.261538462,0.1,0.015384615,0.023076923,0,0.130769231,0,0,0,0,0,0,0.015384615,0.084615385,0.069230769,0.015384615,0.007692308,0,0.015384615,0.023076923,0.007692308,0.038461538,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2021,0.028169014,0,0.352112676,0.211267606,0.366197183,0,0,0,0.042253521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2022,0,0,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2023,0.017857143,0,0.053571429,0.553571429,0.035714286,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0.035714286,0,0.125,0.035714286,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2024,0,0,0.279069767,0.302325581,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0,0,0,0,0.23255814,0.046511628,0,0,0,0.093023256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2021,0.012048193,0,0.554216867,0.301204819,0.024096386,0,0,0,0.012048193,0,0,0,0,0,0,0.012048193,0,0,0.048192771,0,0,0,0,0,0.036144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2022,0.007874016,0,0.31496063,0.165354331,0.070866142,0.047244094,0.031496063,0,0.062992126,0,0.007874016,0,0,0.023622047,0.015748031,0.094488189,0,0,0.070866142,0,0,0,0,0,0.070866142,0,0.015748031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
