Site,Plot,Year,ALDE,BRAR5,BRBR5,BRTE,BUAR3,CHJU,ERCI6,HOUM,LASE,POBU,SECE,SIAL2,TACA8,TRDU,VEDU,VUMY
1,1,2021,0,0.012987013,0,0.519480519,0,0.246753247,0.077922078,0.012987013,0.12987013,0,0,0,0,0,0,0
1,1,2022,0,0,0.058823529,0.361344538,0,0.277310924,0.067226891,0.067226891,0.067226891,0.092436975,0,0,0,0,0.008403361,0
1,1,2023,0,0.165048544,0,0.300970874,0,0.339805825,0.029126214,0,0,0.087378641,0,0,0,0,0.058252427,0.019417476
1,1,2024,0,0.25,0,0.354166667,0,0.135416667,0.03125,0,0,0.114583333,0,0,0.010416667,0,0.09375,0.010416667
1,2,2021,0,0,0,0.581395349,0,0.348837209,0,0,0.069767442,0,0,0,0,0,0,0
1,2,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2023,0,0,0,0.078947368,0,0.815789474,0,0,0,0.105263158,0,0,0,0,0,0
1,2,2024,0,0,0,0.444444444,0,0.481481481,0,0,0,0.074074074,0,0,0,0,0,0
1,3,2021,0,0,0,0.605263158,0,0.328947368,0,0,0.013157895,0.013157895,0,0,0.039473684,0,0,0
1,3,2022,0,0,0.009708738,0.388349515,0,0.203883495,0.058252427,0.038834951,0.077669903,0.116504854,0,0,0.087378641,0.019417476,0,0
1,3,2023,0,0.089285714,0,0.196428571,0,0.294642857,0.044642857,0.017857143,0,0.205357143,0,0,0.116071429,0,0,0.035714286
1,3,2024,0,0.039473684,0,0.223684211,0,0.171052632,0.039473684,0.013157895,0.013157895,0.092105263,0,0,0.302631579,0.026315789,0,0.078947368
1,4,2021,0,0,0,0.847826087,0,0.086956522,0.043478261,0,0,0.02173913,0,0,0,0,0,0
1,4,2022,0,0,0,0.655172414,0,0,0.034482759,0,0,0.275862069,0,0,0.034482759,0,0,0
1,4,2023,0,0.073170732,0,0.243902439,0,0.268292683,0.195121951,0,0,0.219512195,0,0,0,0,0,0
1,4,2024,0,0,0,0.3,0,0.166666667,0.366666667,0,0,0.166666667,0,0,0,0,0,0
1,5,2021,0,0,0,0.509803922,0,0.156862745,0.294117647,0.019607843,0,0.019607843,0,0,0,0,0,0
1,5,2022,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0
1,5,2023,0,0,0,0.071428571,0,0.642857143,0.107142857,0,0,0.178571429,0,0,0,0,0,0
1,5,2024,0,0,0,0,0,0.7,0.3,0,0,0,0,0,0,0,0,0
1,6,2021,0,0,0,0.918367347,0,0.040816327,0,0,0,0,0,0,0.040816327,0,0,0
1,6,2022,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0
1,6,2023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6,2024,0,0,0,0.5,0,0.125,0,0,0,0.375,0,0,0,0,0,0
1,7,2021,0,0,0,0.551020408,0,0.244897959,0.183673469,0,0,0.020408163,0,0,0,0,0,0
1,7,2022,0,0,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0
1,7,2023,0,0,0,0.08,0,0.68,0.04,0,0,0.2,0,0,0,0,0,0
1,7,2024,0,0.096774194,0,0.096774194,0,0.290322581,0.451612903,0,0,0.032258065,0,0,0,0.032258065,0,0
1,8,2021,0,0,0,0.649122807,0,0.315789474,0,0,0,0.035087719,0,0,0,0,0,0
1,8,2022,0,0,0,0.9,0,0,0,0,0,0.1,0,0,0,0,0,0
1,8,2023,0,0.019607843,0,0.078431373,0,0.784313725,0.098039216,0,0,0.019607843,0,0,0,0,0,0
1,8,2024,0,0.090909091,0,0.309090909,0,0.345454545,0.236363636,0,0,0.018181818,0,0,0,0,0,0
1,9,2021,0,0,0,0.5,0,0.264705882,0.147058824,0,0,0.088235294,0,0,0,0,0,0
1,9,2022,0,0,0,0.428571429,0,0,0,0,0,0.571428571,0,0,0,0,0,0
1,9,2023,0,0,0,0.045454545,0,0.818181818,0.090909091,0,0.045454545,0,0,0,0,0,0,0
1,9,2024,0,0,0,0.076923077,0,0.538461538,0.230769231,0,0,0.153846154,0,0,0,0,0,0
1,10,2021,0,0,0,0.333333333,0,0.222222222,0,0,0,0.333333333,0,0,0,0,0,0.111111111
1,10,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10,2023,0,0,0,0,0,0,0,0,0.111111111,0.888888889,0,0,0,0,0,0
1,10,2024,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2022,0,0,0,0.666666667,0,0,0,0,0,0.333333333,0,0,0,0,0,0
1,11,2023,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0.166666667,0
1,11,2024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,12,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,12,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,12,2023,0,0,0,0,0,0.066666667,0,0,0,0.933333333,0,0,0,0,0,0
1,12,2024,0,0,0,0,0,0.111111111,0,0,0,0.888888889,0,0,0,0,0,0
1,13,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2022,0,0,0,0.093023256,0,0,0,0.069767442,0.046511628,0.76744186,0,0,0,0,0,0.023255814
1,13,2023,0,0.130434783,0,0,0,0,0,0,0,0.565217391,0,0,0.043478261,0,0.130434783,0.130434783
1,13,2024,0,0.486486486,0,0,0,0,0,0.027027027,0,0.378378378,0,0,0.027027027,0,0,0.081081081
2,1,2021,0,0,0,0.323529412,0,0.470588235,0.073529412,0,0,0.044117647,0,0,0,0,0,0.088235294
2,1,2022,0,0,0,0.414634146,0,0.56097561,0,0,0,0.024390244,0,0,0,0,0,0
2,1,2023,0,0,0,0.151515152,0,0.651515152,0.151515152,0,0,0.045454545,0,0,0,0,0,0
2,1,2024,0,0,0,0.25862069,0,0.603448276,0.137931034,0,0,0,0,0,0,0,0,0
2,2,2021,0,0,0,0.454545455,0,0.337662338,0.168831169,0,0,0,0,0,0,0,0,0.038961039
